Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
2020-21,2020-12-23,Getafe,3,5,5,12,1.0,3.0,Celta,13,5,12,8,8.0,3.0,D,1.0,1.0,1.0,1.0
2020-21,2020-12-23,Real Madrid,10,4,12,2,4.0,2.0,Granada,8,9,7,7,5.0,3.0,H,2.0,0.0,0.0,0.0
2020-21,2020-12-23,Alaves,4,6,5,17,3.0,1.0,Eibar,4,4,6,13,1.0,3.0,H,2.0,2.0,1.0,1.0
2020-21,2020-12-23,Betis,3,9,4,11,0.0,5.0,Cadiz,3,9,4,10,1.0,6.0,H,1.0,0.0,0.0,0.0
2020-21,2020-12-29,Sevilla,4,2,10,6,1.0,0.0,Villarreal,6,4,7,4,4.0,2.0,H,2.0,1.0,0.0,0.0
2020-21,2020-12-29,Barcelona,9,5,10,5,5.0,3.0,Eibar,5,6,5,14,2.0,5.0,D,1.0,0.0,1.0,0.0
2020-21,2020-12-29,Cadiz,3,9,4,11,1.0,6.0,Valladolid,5,9,5,18,1.0,5.0,D,0.0,0.0,0.0,0.0
2020-21,2020-12-29,Levante,7,4,8,16,3.0,2.0,Betis,4,5,7,9,0.0,3.0,H,4.0,3.0,3.0,1.0
2020-21,2020-12-30,Granada,7,8,7,7,5.0,2.0,Valencia,4,6,3,17,2.0,1.0,H,2.0,1.0,1.0,1.0
2020-21,2020-12-30,Ath Madrid,8,3,12,2,1.0,1.0,Getafe,4,6,5,14,2.0,4.0,H,1.0,1.0,0.0,0.0
2020-21,2020-12-30,Celta,12,2,13,8,7.0,2.0,Huesca,5,7,5,20,2.0,1.0,H,2.0,1.0,1.0,0.0
2020-21,2020-12-30,Elche,4,7,3,18,1.0,3.0,Real Madrid,11,2,15,1,4.0,1.0,D,1.0,0.0,1.0,1.0
2020-21,2020-12-31,Ath Bilbao,6,8,5,11,1.0,2.0,Sociedad,3,7,2,3,3.0,3.0,A,0.0,0.0,1.0,1.0
2020-21,2020-12-31,Osasuna,5,14,1,19,3.0,5.0,Alaves,4,5,7,13,3.0,2.0,D,1.0,0.0,1.0,0.0
2020-21,2021-01-02,Villarreal,5,5,6,4,3.0,2.0,Levante,10,6,10,13,6.0,3.0,H,2.0,1.0,1.0,0.0
2020-21,2021-01-02,Betis,7,7,7,10,1.0,6.0,Sevilla,5,2,10,5,2.0,0.0,D,1.0,0.0,1.0,0.0
2020-21,2021-01-02,Getafe,3,6,4,14,2.0,4.0,Valladolid,4,8,5,17,1.0,5.0,A,0.0,0.0,1.0,1.0
2020-21,2021-01-02,Real Madrid,11,3,13,2,5.0,1.0,Celta,11,2,13,8,7.0,1.0,H,2.0,1.0,0.0,0.0
2020-21,2021-01-03,Ath Bilbao,6,7,5,11,1.0,3.0,Elche,4,7,3,17,0.0,4.0,H,1.0,1.0,0.0,0.0
2020-21,2021-01-03,Alaves,3,5,5,12,2.0,2.0,Ath Madrid,8,3,12,2,2.0,1.0,A,1.0,0.0,2.0,1.0
2020-21,2021-01-03,Eibar,4,7,3,16,2.0,5.0,Granada,8,6,10,7,5.0,2.0,H,2.0,0.0,0.0,0.0
2020-21,2021-01-03,Sociedad,4,7,4,3,4.0,3.0,Osasuna,6,11,2,19,3.0,3.0,D,1.0,0.0,1.0,1.0
2020-21,2021-01-03,Huesca,6,8,5,20,2.0,2.0,Barcelona,9,4,11,6,5.0,2.0,A,0.0,0.0,1.0,1.0
2020-21,2021-01-04,Valencia,5,7,3,18,3.0,2.0,Cadiz,2,8,4,12,1.0,5.0,D,1.0,0.0,1.0,0.0
